,아이디,맥주,날짜,평점,Aroma,Appearance,Flavor,Mouthfeel,Overall
841,"Vaiz(4,459)",Carlsberg Pilsner,"February 1, 2010",2.4,3,3,5,3,10
843,"mkel07(8,991)",Carlsberg Pilsner,"January 29, 2010",0.9,2,2,2,1,2
844,"Muggus69(3,694)",Carlsberg Pilsner,"January 19, 2010",2.4,5,3,5,2,9
845,"polomagnifico(1,202)",Carlsberg Pilsner,"January 16, 2010",1.6,3,2,3,2,6
846,Papillon(425),Carlsberg Pilsner,"January 13, 2010",1.4,4,1,3,2,4
847,"OldMrCrow(2,784)",Carlsberg Pilsner,"January 12, 2010",2.7,5,3,6,3,10
848,"arminjewell(9,756)",Carlsberg Pilsner,"January 8, 2010",1.9,5,2,4,3,5
849,"davidm(2,095)",Carlsberg Pilsner,"January 3, 2010",1.8,3,2,4,2,7
851,"ROGUE(2,215)",Carlsberg Pilsner,"December 23, 2009",1.9,3,3,4,2,7
852,"halfonit(1,458)",Carlsberg Pilsner,"December 19, 2009",2.0,3,2,3,3,9
853,"hirigalzkar(3,862)",Carlsberg Pilsner,"December 17, 2009",2.7,5,2,5,3,12
854,"SanfordBrewer(1,715)",Carlsberg Pilsner,"December 17, 2009",2.3,4,3,5,2,9
855,"Davros(4,016)",Carlsberg Pilsner,"December 15, 2009",1.3,2,2,2,3,4
857,DBob5150(238),Carlsberg Pilsner,"December 12, 2009",2.2,4,3,5,3,7
858,"Alphadelic(2,293)",Carlsberg Pilsner,"November 29, 2009",2.4,5,3,5,2,9
859,Steely(241),Carlsberg Pilsner,"November 21, 2009",2.3,3,3,4,3,10
860,NJJereme(387),Carlsberg Pilsner,"November 19, 2009",1.6,3,2,3,3,5
861,Parket(586),Carlsberg Pilsner,"November 18, 2009",2.3,4,3,4,2,10
862,wimpie133(381),Carlsberg Pilsner,"November 17, 2009",2.2,3,3,5,2,9
863,"Nisse666(11,840)",Carlsberg Pilsner,"November 6, 2009",3.3,5,3,7,4,14
866,"Beershine(5,262)",Carlsberg Pilsner,"April 18, 2010",2.1,4,2,4,2,9
867,"alobar(4,884)",Carlsberg Pilsner,"October 19, 2009",2.2,4,2,4,2,10
868,"mcberko(31,996)",Carlsberg Pilsner,"October 14, 2009",1.0,2,2,2,1,3
870,"Hermod(12,588)",Carlsberg Pilsner,"October 9, 2009",2.3,5,3,3,3,9
872,voiceofreason(64),Carlsberg Pilsner,"October 6, 2009",2.8,5,5,5,5,8
874,Cole(967),Carlsberg Pilsner,"October 11, 2009",3.2,7,3,7,2,13
878,"Fratto(2,845)",Carlsberg Pilsner,"September 17, 2009",1.0,1,2,1,3,3
879,"Spab(7,071)",Carlsberg Pilsner,"September 13, 2009",1.9,3,2,4,2,8
880,"ContemplateBeer(2,089)",Carlsberg Pilsner,"March 24, 2015",2.3,5,3,4,3,8
881,"Bierkrug(2,129)",Carlsberg Pilsner,"September 4, 2009",1.9,2,2,3,2,10
883,angrybeerman(259),Carlsberg Pilsner,"October 4, 2009",2.2,5,3,4,2,8
885,"RuneStumo(3,260)",Carlsberg Pilsner,"January 15, 2011",2.7,5,3,6,3,10
886,"drowland(11,069)",Carlsberg Pilsner,"August 27, 2009",2.3,5,2,4,3,9
887,"bulldogops(2,905)",Carlsberg Pilsner,"July 9, 2010",2.6,5,3,5,2,11
888,"ChainGangGuy(5,398)",Carlsberg Pilsner,"August 27, 2009",2.5,5,3,5,3,9
889,"fidelis83(3,118)",Carlsberg Pilsner,"August 12, 2009",1.7,3,2,3,2,7
890,"finol(3,983)",Carlsberg Pilsner,"August 7, 2009",2.0,3,2,5,3,7
894,"DandyWolfFloyd(1,839)",Carlsberg Pilsner,"July 28, 2009",1.4,1,2,3,2,6
895,"TURDFERGUSON(4,066)",Carlsberg Pilsner,"July 28, 2009",2.7,6,3,5,2,11
896,"ben4321(9,180)",Carlsberg Pilsner,"July 25, 2009",2.0,4,2,4,2,8
897,"VertBaconStrips(2,445)",Carlsberg Pilsner,"July 20, 2009",2.4,5,2,5,2,10
898,"Archibaldo de la Cruz(1,120)",Carlsberg Pilsner,"July 19, 2009",1.3,2,1,2,2,6
899,"Enjoyit(3,807)",Carlsberg Pilsner,"July 19, 2009",2.0,4,3,4,2,7
900,TheHulk(486),Carlsberg Pilsner,"July 16, 2009",2.9,6,2,6,3,12
902,"Diogène(1,214)",Carlsberg Pilsner,"July 10, 2009",1.8,3,3,3,3,6
903,fredthecat(522),Carlsberg Pilsner,"July 7, 2009",1.1,3,1,2,1,4
904,"thorongil2(5,536)",Carlsberg Pilsner,"August 5, 2010",2.3,4,3,4,3,9
908,"DeanF(7,797)",Carlsberg Pilsner,"June 30, 2009",2.6,3,3,6,4,10
910,"Jimthechap(2,057)",Carlsberg Pilsner,"June 14, 2009",2.0,3,3,4,2,8
911,"chrisv10(23,082)",Carlsberg Pilsner,"June 14, 2009",1.3,2,1,3,2,5
913,"Oscbert(1,585)",Carlsberg Pilsner,"June 5, 2009",2.3,5,5,4,2,7
915,"Cirrhosis(1,283)",Carlsberg Pilsner,"June 3, 2009",2.8,7,3,5,3,10
916,Gypsy19(726),Carlsberg Pilsner,"June 2, 2009",2.4,3,1,6,4,10
917,"JanEric(1,268)",Carlsberg Pilsner,"June 1, 2009",1.9,3,2,4,2,8
918,"joe19612(4,152)",Carlsberg Pilsner,"May 30, 2009",2.1,4,3,4,2,8
919,"Svesse(11,473)",Carlsberg Pilsner,"May 30, 2009",2.4,5,3,4,3,9
920,alepig666(78),Carlsberg Pilsner,"May 29, 2009",1.4,4,3,3,3,1
924,"Snojerk321(2,960)",Carlsberg Pilsner,"May 18, 2009",1.9,4,2,4,2,7
925,"Onslow(1,738)",Carlsberg Pilsner,"May 9, 2009",3.0,4,3,6,3,14
926,"tokyogoat(1,503)",Carlsberg Pilsner,"May 8, 2009",1.4,2,3,2,3,4
927,joebudzjoe(681),Carlsberg Pilsner,"May 7, 2009",2.4,4,3,5,2,10
928,JediMindTricks(446),Carlsberg Pilsner,"May 6, 2009",2.4,4,3,4,3,10
929,"tronraner(2,459)",Carlsberg Pilsner,"May 3, 2009",2.2,6,3,3,2,8
930,"zvikar(11,249)",Carlsberg Pilsner,"April 22, 2009",1.7,2,2,4,2,7
934,"gunnar(13,549)",Carlsberg Pilsner,"April 10, 2009",1.9,2,3,4,3,7
935,zakkbironia(112),Carlsberg Pilsner,"April 1, 2009",3.9,6,5,8,5,15
938,Nik925(881),Carlsberg Pilsner,"March 18, 2009",2.1,2,3,5,3,8
939,"Nordcore(2,699)",Carlsberg Pilsner,"March 18, 2009",1.8,4,2,3,2,7
940,"Gary(2,114)",Carlsberg Pilsner,"March 16, 2009",1.8,4,2,4,1,7
941,"nqualls(1,452)",Carlsberg Pilsner,"March 14, 2009",2.1,3,3,4,3,8
942,jimmack34(647),Carlsberg Pilsner,"March 11, 2009",2.3,4,2,5,2,10
944,"Cavie(5,657)",Carlsberg Pilsner,"March 5, 2009",0.5,1,1,1,1,1
945,"dwaggs2(1,297)",Carlsberg Pilsner,"March 2, 2009",2.5,5,2,5,3,10
946,stoutchap(425),Carlsberg Pilsner,"March 1, 2009",0.8,1,1,1,2,3
947,TerenceHua(87),Carlsberg Pilsner,"February 23, 2009",2.7,5,2,6,3,11
948,"kiefdog(1,827)",Carlsberg Pilsner,"February 23, 2009",2.6,5,3,5,3,10
949,"rodenbach99(4,792)",Carlsberg Pilsner,"February 23, 2009",1.2,2,3,2,1,4
950,"olsvammel(7,995)",Carlsberg Pilsner,"April 12, 2009",1.0,2,2,2,1,3
951,"robforbes(2,398)",Carlsberg Pilsner,"February 20, 2009",2.4,4,3,4,3,10
952,"austone(1,062)",Carlsberg Pilsner,"February 17, 2009",1.6,2,3,3,3,5
953,"HonkeyBra(4,044)",Carlsberg Pilsner,"February 16, 2009",1.5,2,2,3,1,7
954,"Block(3,330)",Carlsberg Pilsner,"February 6, 2009",2.4,5,3,5,3,8
957,"scooterbub(1,162)",Carlsberg Pilsner,"January 19, 2009",1.7,3,2,2,2,8
958,"GDTRFB(7,406)",Carlsberg Pilsner,"January 14, 2009",2.7,5,3,5,3,11
959,"downender(10,499)",Carlsberg Pilsner,"January 13, 2009",1.9,3,3,3,2,8
960,TheJollyOne(230),Carlsberg Pilsner,"January 9, 2009",1.9,3,1,4,2,9
961,"Viper666.Qc(10,484)",Carlsberg Pilsner,"January 4, 2009",2.3,5,3,5,2,8
962,AcctError85284(119),Carlsberg Pilsner,"January 4, 2009",2.2,4,2,4,2,10
963,"marcus(12,532)",Carlsberg Pilsner,"January 1, 2009",2.2,5,3,4,2,8
964,reakt(959),Carlsberg Pilsner,"December 30, 2008",1.3,2,3,3,2,3
967,sdriessen(320),Carlsberg Pilsner,"December 24, 2008",1.4,3,3,3,1,4
968,"porterhouse(1,580)",Carlsberg Pilsner,"December 23, 2008",2.5,5,2,5,2,11
969,"Strangebrewer(1,777)",Carlsberg Pilsner,"September 11, 2016",2.8,5,2,6,2,13
970,"GT(10,001)",Carlsberg Pilsner,"December 18, 2008",2.4,4,2,5,3,10
971,"That1Guy(2,241)",Carlsberg Pilsner,"December 17, 2008",0.9,1,1,3,1,3
972,"rosenbergh(14,039)",Carlsberg Pilsner,"December 16, 2008",1.8,4,2,4,1,7
973,"nate2g(1,548)",Carlsberg Pilsner,"December 16, 2008",2.0,4,3,5,2,6
974,DrDavid(957),Carlsberg Pilsner,"December 14, 2008",1.6,4,2,3,2,5
976,EFC1878(315),Carlsberg Pilsner,"November 29, 2008",0.5,1,1,1,1,1
977,"lithy(2,996)",Carlsberg Pilsner,"November 20, 2008",2.8,4,4,5,3,12
978,"Pinball(13,340)",Carlsberg Pilsner,"November 20, 2008",2.4,4,3,4,3,10
979,gary07734(500),Carlsberg Pilsner,"February 26, 2009",1.9,5,3,3,3,5
980,SkyCop32(287),Carlsberg Pilsner,"October 29, 2008",2.0,4,2,4,2,8
982,SeanMacGC(335),Carlsberg Pilsner,"October 24, 2008",2.5,3,3,6,2,11
986,BustedFlat(554),Carlsberg Pilsner,"October 16, 2008",2.5,5,3,5,3,9
987,TheBeerMaster(100),Carlsberg Pilsner,"October 13, 2008",1.8,3,2,4,1,8
990,cblado(298),Carlsberg Pilsner,"September 22, 2008",2.0,4,2,4,3,7
991,"troyc(2,869)",Carlsberg Pilsner,"September 21, 2008",2.0,3,3,3,3,8
992,"daknole(11,051)",Carlsberg Pilsner,"September 14, 2008",0.9,2,1,2,1,3
996,kevd193213(995),Carlsberg Pilsner,"September 3, 2008",2.7,5,2,5,3,12
997,"tlind2(1,996)",Carlsberg Pilsner,"September 2, 2008",2.4,4,3,5,2,10
998,"boFNjackson(4,200)",Carlsberg Pilsner,"September 1, 2008",1.4,3,1,3,2,5
999,smjohnst(203),Carlsberg Pilsner,"August 31, 2008",3.1,5,3,7,4,12
1001,"tgncc(3,178)",Carlsberg Pilsner,"August 30, 2008",2.5,5,3,6,3,8
1002,"Borresteijn(9,395)",Carlsberg Pilsner,"August 28, 2008",2.0,3,2,5,2,8
1003,"troopie(4,149)",Carlsberg Pilsner,"August 27, 2008",3.0,6,4,6,3,11
1004,MrAleman(111),Carlsberg Pilsner,"September 7, 2008",0.5,1,1,1,1,1
1005,"jason(1,836)",Carlsberg Pilsner,"August 24, 2008",2.2,4,3,4,2,9
1006,Delirium(687),Carlsberg Pilsner,"August 23, 2008",2.2,4,2,5,3,8
1007,"tomthompson89(1,983)",Carlsberg Pilsner,"August 23, 2008",2.5,5,2,5,2,11
1008,"blipp(12,459)",Carlsberg Pilsner,"August 22, 2008",1.5,2,2,3,2,6
1009,"hayduke(6,095)",Carlsberg Pilsner,"August 21, 2008",2.6,5,3,5,3,10
1010,EnSiFeRuM(501),Carlsberg Pilsner,"August 19, 2008",2.1,4,3,4,2,8
1011,"Maverick34(4,223)",Carlsberg Pilsner,"August 16, 2008",2.3,5,4,4,2,8
1015,"daniele(12,901)",Carlsberg Pilsner,"August 9, 2008",2.2,5,3,4,2,8
1018,Skidds(253),Carlsberg Pilsner,"August 7, 2008",2.1,4,3,4,2,8
1019,MexiFinn(54),Carlsberg Pilsner,"August 3, 2008",1.2,2,3,1,1,5
1022,"sneagrams3(2,337)",Carlsberg Pilsner,"July 28, 2008",3.0,6,3,7,2,12
1024,"NeoHippie2(1,074)",Carlsberg Pilsner,"July 16, 2008",3.4,6,3,7,3,15
1025,"nuplastikk(7,607)",Carlsberg Pilsner,"July 13, 2008",2.8,5,2,7,3,11
1028,"note666(1,472)",Carlsberg Pilsner,"July 4, 2008",2.0,4,2,4,2,8
1029,Ramenen(466),Carlsberg Pilsner,"June 30, 2008",1.3,2,2,2,2,5
1031,"Joakgust(1,698)",Carlsberg Pilsner,"June 21, 2008",1.7,2,2,4,2,7
1032,raymondwave(931),Carlsberg Pilsner,"June 19, 2008",2.1,4,3,4,2,8
1033,"KimJohansen(10,511)",Carlsberg Pilsner,"May 17, 2010",1.6,3,3,3,2,5
1034,jhliesen(846),Carlsberg Pilsner,"June 16, 2008",1.6,4,1,4,2,5
1035,"Rciesla(5,498)",Carlsberg Pilsner,"June 15, 2008",2.6,4,5,5,3,9
1036,"Yves(3,754)",Carlsberg Pilsner,"June 13, 2008",2.2,4,3,4,3,8
1037,junon(430),Carlsberg Pilsner,"June 12, 2008",2.3,3,3,5,3,9
1038,"SpudClampDawg(1,029)",Carlsberg Pilsner,"June 12, 2008",2.0,4,2,4,2,8
1041,"carruthm(1,400)",Carlsberg Pilsner,"June 9, 2008",2.7,4,2,6,3,12
1042,"kp(10,878)",Carlsberg Pilsner,"June 7, 2008",1.7,3,2,3,2,7
1043,"LLCoolDave(1,261)",Carlsberg Pilsner,"June 7, 2008",2.1,3,3,5,3,7
1044,"Jonte(1,412)",Carlsberg Pilsner,"June 23, 2008",2.3,5,3,5,2,8
1045,UnholyBrewing(596),Carlsberg Pilsner,"June 2, 2008",1.9,2,2,3,2,10
1046,"durhambeer(2,500)",Carlsberg Pilsner,"May 30, 2008",2.4,4,3,5,3,9
1048,"trapez(1,561)",Carlsberg Pilsner,"May 27, 2008",1.5,2,2,3,2,6
1049,"FatPhil(21,221)",Carlsberg Pilsner,"May 26, 2008",1.8,3,2,4,2,7
1050,kurtkosher(144),Carlsberg Pilsner,"May 22, 2008",2.1,3,3,4,3,8
1051,"italianjohn(4,402)",Carlsberg Pilsner,"February 13, 2009",2.5,4,3,5,3,10
1052,"phishpond417(2,086)",Carlsberg Pilsner,"May 18, 2008",2.0,5,2,6,1,6
1053,"blutt59(6,806)",Carlsberg Pilsner,"May 18, 2008",2.8,5,3,6,3,11
1054,rcasta(867),Carlsberg Pilsner,"May 16, 2008",2.2,4,2,4,3,9
1055,sirPino(882),Carlsberg Pilsner,"May 6, 2008",2.1,3,2,4,2,10
1057,"Kavu(8,246)",Carlsberg Pilsner,"May 3, 2008",2.8,6,3,5,3,11
1058,"liinis(1,771)",Carlsberg Pilsner,"May 2, 2008",1.6,2,2,3,2,7
1059,"Bragesnak(5,390)",Carlsberg Pilsner,"April 30, 2008",2.5,5,3,5,3,9
1060,cab(866),Carlsberg Pilsner,"April 26, 2008",2.5,3,4,5,3,10
1061,"Fukito(1,064)",Carlsberg Pilsner,"April 26, 2008",1.9,3,2,4,2,8
1062,"esjaygee(3,902)",Carlsberg Pilsner,"April 20, 2008",1.3,3,2,3,1,4
1063,"Cybercat(9,360)",Carlsberg Pilsner,"April 20, 2008",3.0,6,3,7,3,11
1066,thooper41(556),Carlsberg Pilsner,"April 13, 2008",2.5,4,3,4,4,10
1069,"kidmartinek(5,009)",Carlsberg Pilsner,"March 31, 2008",2.5,4,3,5,3,10
1074,"gam(4,242)",Carlsberg Pilsner,"July 10, 2008",3.3,6,3,7,4,13
1075,"Suttree(7,120)",Carlsberg Pilsner,"March 23, 2008",1.6,3,2,2,3,6
1077,renffisch(891),Carlsberg Pilsner,"March 12, 2008",1.4,2,3,2,2,5
1079,lithilorn(484),Carlsberg Pilsner,"March 2, 2008",1.9,3,1,4,2,9
1080,"ogreface(1,390)",Carlsberg Pilsner,"February 29, 2008",2.5,4,3,5,3,10
1081,"Plovmand(10,427)",Carlsberg Pilsner,"February 27, 2008",2.5,4,3,5,3,10
1082,TheSponge(342),Carlsberg Pilsner,"February 25, 2008",2.1,1,2,4,2,12
1083,ILduce(285),Carlsberg Pilsner,"February 23, 2008",2.3,4,3,4,3,9
1084,"puboflyons(4,360)",Carlsberg Pilsner,"February 17, 2008",2.0,3,3,3,2,9
1085,dkazuk(248),Carlsberg Pilsner,"February 13, 2008",1.9,2,3,5,2,7
1087,"KUEric(1,004)",Carlsberg Pilsner,"February 10, 2008",1.9,3,2,4,2,8
1088,cazort(602),Carlsberg Pilsner,"February 9, 2008",2.9,6,3,5,3,12
1089,as(184),Carlsberg Pilsner,"February 7, 2008",2.5,5,3,5,3,9
1093,"bigrond(1,499)",Carlsberg Pilsner,"January 29, 2008",2.4,4,3,4,2,11
1094,Odyn(268),Carlsberg Pilsner,"May 28, 2008",1.9,3,2,3,2,9
1098,"RichJ7(1,175)",Carlsberg Pilsner,"January 17, 2008",1.6,3,2,3,2,6
1099,"weaselkenievil(1,607)",Carlsberg Pilsner,"January 9, 2008",2.0,3,2,4,3,8
1100,Beltramelli(471),Carlsberg Pilsner,"January 8, 2008",1.6,3,2,3,2,6
1103,"joshwilfong(1,200)",Carlsberg Pilsner,"January 4, 2008",2.4,5,2,5,2,10
1104,"mmmbeer(1,491)",Carlsberg Pilsner,"January 1, 2008",1.8,4,2,3,2,7
1106,"BMan1113VR(7,929)",Carlsberg Pilsner,"December 22, 2007",2.2,4,3,5,2,8
1107,"estpiwo(1,319)",Carlsberg Pilsner,"December 21, 2007",2.4,4,3,5,3,9
1108,"TrefwoordPunk(1,435)",Carlsberg Pilsner,"December 20, 2007",2.6,5,2,7,3,9
1109,"kappldav123(7,738)",Carlsberg Pilsner,"December 11, 2007",2.4,4,3,5,3,9
1110,"Maria(10,208)",Carlsberg Pilsner,"December 11, 2007",1.7,3,3,3,3,5
1112,"RoyceH(1,200)",Carlsberg Pilsner,"December 4, 2007",2.5,6,3,5,3,8
1113,garza(580),Carlsberg Pilsner,"November 3, 2007",3.5,4,4,8,4,15
1114,"eboats(1,115)",Carlsberg Pilsner,"November 1, 2007",2.7,5,2,5,3,12
1115,"slimchill(1,044)",Carlsberg Pilsner,"October 31, 2007",2.2,5,3,4,2,8
1117,"pumpmaster(1,573)",Carlsberg Pilsner,"October 24, 2007",2.5,3,3,4,3,12
1120,edden(925),Carlsberg Pilsner,"October 4, 2007",2.6,6,4,5,3,8
1123,"ekstedt(7,869)",Carlsberg Pilsner,"September 22, 2007",1.4,2,2,4,2,4
1124,"heavy(2,948)",Carlsberg Pilsner,"September 15, 2007",2.7,7,3,4,2,11
1125,"douglas88(11,585)",Carlsberg Pilsner,"September 6, 2007",2.6,4,2,6,3,11
1126,Wulfstan(509),Carlsberg Pilsner,"February 14, 2008",1.6,4,2,3,2,5
1128,"SamGamgee(2,452)",Carlsberg Pilsner,"November 27, 2007",2.2,3,3,5,3,8
1130,pojo41(315),Carlsberg Pilsner,"August 23, 2007",2.1,3,3,5,2,8
1131,shoestring(629),Carlsberg Pilsner,"April 1, 2009",2.2,3,2,4,2,11
1132,"AWS9(1,032)",Carlsberg Pilsner,"August 18, 2007",2.3,3,2,4,3,11
1133,"Pwn3d(1,958)",Carlsberg Pilsner,"January 7, 2008",2.1,6,2,3,2,8
1134,"LordCorkscrew(1,768)",Carlsberg Pilsner,"August 15, 2007",2.1,4,2,5,2,8
1135,wcampbell(721),Carlsberg Pilsner,"August 12, 2007",1.9,3,3,3,2,8
1136,"jredmond(10,321)",Carlsberg Pilsner,"August 5, 2007",2.1,3,1,4,3,10
1137,"thegreenrooster(5,813)",Carlsberg Pilsner,"July 28, 2007",1.8,3,3,3,2,7
1138,"unclemattie(4,357)",Carlsberg Pilsner,"July 28, 2007",2.9,6,2,6,4,11
1139,"obguthr(9,661)",Carlsberg Pilsner,"July 28, 2007",2.5,3,2,6,2,12
1140,AaronBouchard(150),Carlsberg Pilsner,"July 25, 2007",3.6,7,4,7,4,14
1141,sinte(765),Carlsberg Pilsner,"July 20, 2007",2.0,3,2,5,2,8
1142,"barncatmatt(2,287)",Carlsberg Pilsner,"July 17, 2007",2.5,5,2,5,3,10
1147,"cyrenaica(1,195)",Carlsberg Pilsner,"July 8, 2007",3.3,6,3,5,4,15
1148,"yespr(54,633)",Carlsberg Pilsner,"July 7, 2007",2.6,5,3,5,3,10
1149,Thylacine(526),Carlsberg Pilsner,"July 7, 2007",1.7,5,2,3,2,5
1150,jkm(235),Carlsberg Pilsner,"July 7, 2007",1.8,2,2,4,2,8
1151,JayBaxter(406),Carlsberg Pilsner,"July 2, 2007",1.7,3,2,3,2,7
1152,bbp182(255),Carlsberg Pilsner,"June 27, 2007",1.3,3,2,1,1,6
1153,"lb4lb(2,655)",Carlsberg Pilsner,"August 10, 2007",1.8,3,3,3,3,6
1154,"Russo(2,014)",Carlsberg Pilsner,"June 24, 2007",2.7,5,2,5,2,13
1156,wilderthanyou(758),Carlsberg Pilsner,"September 10, 2008",2.9,4,2,6,3,14
1158,beervis(243),Carlsberg Pilsner,"June 18, 2007",2.6,5,3,5,3,10
1159,greenmanalishi(576),Carlsberg Pilsner,"June 17, 2007",1.8,3,3,3,2,7
1160,"BREWMUSKCLES(3,073)",Carlsberg Pilsner,"June 15, 2007",2.4,4,3,5,4,8
1161,"mabel(11,183)",Carlsberg Pilsner,"August 14, 2008",2.5,5,2,5,3,10
1162,andrewboss(137),Carlsberg Pilsner,"July 10, 2007",2.3,4,3,5,2,9
1163,"Embrouille(2,855)",Carlsberg Pilsner,"June 8, 2007",2.1,4,2,4,2,9
1164,"cking(1,175)",Carlsberg Pilsner,"June 6, 2007",2.7,5,3,5,3,11
1165,"guzzler67(1,696)",Carlsberg Pilsner,"June 6, 2007",2.3,4,3,5,2,9
1166,RiverHorse(457),Carlsberg Pilsner,"June 3, 2007",2.1,5,2,4,2,8
1167,"robinvboyer(6,132)",Carlsberg Pilsner,"June 2, 2007",1.6,2,3,3,2,6
1168,DaMenace123(253),Carlsberg Pilsner,"May 30, 2007",1.7,3,2,4,2,6
1169,oberabcbbsok(692),Carlsberg Pilsner,"May 26, 2007",1.8,5,2,4,2,5
1170,"KasperFoged(1,561)",Carlsberg Pilsner,"May 26, 2007",1.8,3,2,4,2,7
1171,"jcwattsrugger(13,251)",Carlsberg Pilsner,"May 22, 2007",2.8,6,3,5,3,11
1173,AmazonMatt(285),Carlsberg Pilsner,"May 20, 2007",2.5,4,3,5,3,10
1174,"Jerre(5,371)",Carlsberg Pilsner,"May 19, 2007",1.2,2,1,3,1,5
1175,asedzie(837),Carlsberg Pilsner,"May 18, 2007",0.5,1,1,1,1,1
1177,"Wim(5,297)",Carlsberg Pilsner,"May 18, 2007",2.2,4,3,4,2,9
1178,"charlotte(6,853)",Carlsberg Pilsner,"May 14, 2007",2.1,2,3,3,3,10
1179,"IlanMan(1,013)",Carlsberg Pilsner,"September 12, 2008",2.3,5,2,5,2,9
1182,KingofCastle(210),Carlsberg Pilsner,"April 29, 2007",2.8,6,3,6,3,10
1184,"tarjei(1,952)",Carlsberg Pilsner,"April 26, 2007",1.6,3,2,3,2,6
1185,jalichio999(502),Carlsberg Pilsner,"August 8, 2008",2.2,4,2,4,2,10
1186,"faroeviking(13,765)",Carlsberg Pilsner,"April 11, 2007",2.4,4,3,5,2,10
1188,"JesseM(1,161)",Carlsberg Pilsner,"May 12, 2015",4.0,6,3,8,3,20
1189,Moz(613),Carlsberg Pilsner,"May 12, 2007",1.4,2,2,2,2,6
1190,"garthicus(3,025)",Carlsberg Pilsner,"April 9, 2007",1.6,2,3,3,2,6
1192,"17thfloor(2,444)",Carlsberg Pilsner,"January 22, 2008",2.2,5,3,4,2,8
1195,DarkMagus(550),Carlsberg Pilsner,"March 24, 2007",1.7,3,2,4,2,6
1196,Crafty07(404),Carlsberg Pilsner,"August 14, 2007",2.7,4,3,5,3,12
1197,"Slayer85(1,051)",Carlsberg Pilsner,"March 18, 2007",1.1,3,1,2,1,4
1201,voota(765),Carlsberg Pilsner,"February 25, 2007",1.5,3,2,3,2,5
1202,"ilovedarkbeer(2,753)",Carlsberg Pilsner,"August 17, 2007",2.1,4,3,6,2,6
1205,"Furseth(2,165)",Carlsberg Pilsner,"February 13, 2007",1.2,4,1,3,3,1
1207,kimcgolf(872),Carlsberg Pilsner,"February 12, 2007",2.3,4,2,5,2,10
1208,Stopherbomber(111),Carlsberg Pilsner,"February 11, 2007",2.6,4,4,4,4,10
1210,"Strykzone(8,457)",Carlsberg Pilsner,"February 9, 2007",1.7,3,2,4,2,6
1212,petermadsen(390),Carlsberg Pilsner,"February 4, 2007",1.5,3,2,2,2,6
1213,"altonbrownd(5,921)",Carlsberg Pilsner,"February 3, 2007",2.2,4,2,4,2,10
1215,"rane(1,257)",Carlsberg Pilsner,"January 30, 2007",2.0,3,4,3,3,7
1216,"BelgianBeerGal(5,263)",Carlsberg Pilsner,"January 28, 2007",2.2,4,3,4,3,8
1217,"stouby(5,705)",Carlsberg Pilsner,"January 28, 2007",2.2,4,2,5,2,9
1219,"jonno(2,750)",Carlsberg Pilsner,"January 17, 2007",2.3,4,3,6,2,8
1223,LyndaNova(531),Carlsberg Pilsner,"January 10, 2007",2.6,5,3,5,3,10
1224,"BeerBiker(1,414)",Carlsberg Pilsner,"May 18, 2007",2.0,4,2,4,2,8
1228,"MesandSim(7,116)",Carlsberg Pilsner,"December 29, 2006",1.8,4,2,3,2,7
1229,"StueyD(1,586)",Carlsberg Pilsner,"December 28, 2006",1.8,4,2,4,2,6
1230,sinkhole(263),Carlsberg Pilsner,"December 21, 2006",2.3,4,2,5,2,10
1231,"bhensonb(19,394)",Carlsberg Pilsner,"January 8, 2008",2.5,4,3,5,3,10
1233,"OleR(4,799)",Carlsberg Pilsner,"December 11, 2006",2.0,3,3,4,3,7
1234,"cheap(7,612)",Carlsberg Pilsner,"January 1, 2008",3.2,3,1,8,3,17
1235,yayforbeer(753),Carlsberg Pilsner,"December 7, 2006",2.0,4,2,4,2,8
1236,"MiP(18,140)",Carlsberg Pilsner,"December 2, 2006",1.6,3,3,3,3,4
1237,auderale(605),Carlsberg Pilsner,"November 28, 2006",2.4,3,3,5,3,10
1238,homersimpsin(40),Carlsberg Pilsner,"November 24, 2006",2.9,6,4,7,4,8
1239,DanBerg(59),Carlsberg Pilsner,"November 22, 2006",3.5,7,3,7,3,15
1240,kopestes(164),Carlsberg Pilsner,"November 19, 2006",2.6,3,3,6,2,12
1241,DJC(238),Carlsberg Pilsner,"November 14, 2006",1.8,1,3,4,4,6
1242,"SudsMcDuff(8,568)",Carlsberg Pilsner,"August 13, 2010",3.3,6,4,6,3,14
1244,"pkbites(1,295)",Carlsberg Pilsner,"November 12, 2006",1.1,1,3,2,2,3
1245,"bager(2,120)",Carlsberg Pilsner,"November 9, 2006",1.0,2,2,2,1,3
1246,zombywoof(483),Carlsberg Pilsner,"November 7, 2006",2.0,4,2,4,2,8
1248,RaphaelN(195),Carlsberg Pilsner,"November 3, 2006",2.1,6,2,4,1,8
1249,"mansquito(11,545)",Carlsberg Pilsner,"November 1, 2006",2.1,4,2,5,2,8
1251,Mirage52(147),Carlsberg Pilsner,"October 30, 2006",2.9,5,3,6,3,12
1252,jetzler(622),Carlsberg Pilsner,"October 28, 2006",2.1,4,2,6,2,7
1253,"Theis(15,148)",Carlsberg Pilsner,"October 27, 2006",1.4,2,1,2,2,7
1256,"Derek881(1,272)",Carlsberg Pilsner,"October 18, 2006",2.6,4,3,5,3,11
1258,rayg1(599),Carlsberg Pilsner,"October 9, 2006",2.2,4,2,5,3,8
